,Energy,Protein,Fat,Carbohydrate,Name,Group
1,344,8.6,1.5,74.5,Gạo nếp cái,Group_1
2,346,8.4,1.6,74.9,Gạo nếp máy (loại thường),Group_1
3,344,8.1,1.3,75.0,Gạo tẻ già,Group_1
4,344,7.9,1.0,75.9,Gạo tẻ máy,Group_1
5,345,7.5,2.7,72.8,Gạo lứt,Group_1
6,331,7.0,3.0,69.0,Kê,Group_1
7,196,4.1,2.3,39.6,Ngô bắp tươi,Group_1
8,354,8.6,4.7,69.4,Ngô vàng hạt khô,Group_1
9,219,6.1,0.5,47.5,Bánh bao,Group_1
10,333,4.0,0.2,78.9,Bánh đa nem,Group_1
11,52,0.9,0.3,11.3,Bánh đúc,Group_1
12,249,7.9,0.8,52.6,Bánh mỳ,Group_1
13,143,3.2,0.4,31.7,Bánh phở,Group_1
14,292,8.0,10.8,40.7,Bánh quẩy,Group_1
15,372,8.6,1.6,80.8,Bỏng ngô,Group_1
16,362,8.2,1.6,78.8,Bột gạo nếp,Group_1
17,359,6.6,0.4,82.2,Bột gạo tẻ,Group_1
18,346,10.3,1.1,73.6,Bột mì,Group_1
19,361,8.3,4.0,73.0,Bột ngô vàng,Group_1
20,110,1.7,-,25.7,Bún,Group_1
21,297,6.1,0.8,66.3,Cốm,Group_1
22,349,11.0,0.9,74.2,Mỳ sợi,Group_1
23,167,3.9,2.2,32.9,Ngô nếp luộc,Group_1
24,115,3.6,0.5,24.0,Củ ấu,Group_2
25,127,3.1,0.2,28.3,Củ cải,Group_2
26,119,1.4,-,28.4,Củ dong,Group_2
27,152,1.1,0.2,36.4,Củ sắn,Group_2
28,119,1.6,0.1,28.0,Củ sắn dây,Group_2
29,350,16.1,0.5,70.3,Củ súng khô (đã bỏ vỏ),Group_2
30,92,1.5,-,21.5,Củ từ,Group_2
31,119,0.8,0.2,28.5,Khoai lang,Group_2
32,116,1.2,0.3,27.1,Khoai lang nghệ,Group_2
33,109,1.5,0.2,25.2,Khoai môn,Group_2
34,98,1.0,0.1,23.3,Khoai nước,Group_2
35,104,0.8,-,25.1,Khoai riềng,Group_2
36,114,1.8,0.1,26.5,Khoai sọ,Group_2
37,93,2.0,0.1,20.9,Khoai tây,Group_2
38,332,0.6,0.1,82.2,Miến dong,Group_2
39,341,0.6,-,84.7,Bột dong lọc,Group_2
40,334,2.2,0.5,80.2,Bột khoai lang,Group_2
41,337,0.2,-,84.1,Bột khoai riềng (bột dao),Group_2
42,345,1.0,0.3,84.4,Bột khoai tây (lọc),Group_2
43,333,2.4,0.5,79.6,Bột sắn,Group_2
44,340,0.7,-,84.3,Bột sắn dây,Group_2
45,333,2.2,0.5,80.0,Khoai lang khô,Group_2
46,330,6.6,0.3,75.1,Khoai tây khô,Group_2
47,525,2.2,35.4,49.3,Khoai tây lát chiên,Group_2
48,340,3.0,0.7,80.3,Sắn khô,Group_2
49,341,1.0,-,84.3,Trân châu sắn,Group_2
50,368,4.8,36.0,6.2,Cùi dừa già,Group_3
51,40,3.5,1.7,2.6,Cùi dừa non,Group_3
52,321,21.8,1.6,54.9,Đậu ve (hạt),Group_3
53,325,24.2,1.7,53.3,Đậu đen (hạt),Group_3
54,320,23.7,2.0,51.9,Đậu đũa (hạt),Group_3
55,318,22.2,1.4,54.1,Đậu Hà lan (hạt),Group_3
56,400,34.0,18.4,24.6,Đậu tương (đậu nành),Group_3
57,327,23.2,2.1,53.8,Đậu trắng hạt (đậu tây),Group_3
58,321,25.8,2.0,50.0,Đậu trứng cuốc,Group_3
59,328,23.4,2.4,53.1,Đậu xanh (đậu tẻ),Group_3
60,638,18.0,59.0,8.7,Hạt dẻ to,Group_3
61,223,4.2,1.1,49.1,Hạt dẻ nhỏ,Group_3
62,363,6.8,1.8,79.8,Hạt điều,Group_3
63,472,17.3,29.0,35.5,Hạt đen,Group_3
64,605,18.4,46.3,28.7,Hạt điều,Group_3
65,166,0.7,1.1,38.3,Hạt mít,Group_3
66,573,27.5,44.5,15.5,Lạc hạt,Group_3
67,178,2.3,13.4,12.1,Quả cóc tươi,Group_3
68,427,20.0,38.0,1.2,Quả dừa hạt tươi,Group_3
69,568,20.1,46.4,17.6,"Vừng (đen, trắng)",Group_3
70,321,49.0,1.0,29.0,Bột đậu tương đã loại béo (đậu nành),Group_3
71,418,41.0,18.0,22.9,Bột đậu tương rang chín,Group_3
72,347,24.6,2.5,56.5,Bột đậu xanh,Group_3
73,575,27.5,45.0,15.0,Bột lạc,Group_3
74,95,10.9,5.4,0.7,Đậu phụ,Group_3
75,414,50.2,20.8,6.5,Đậu phụ chúc,Group_3
76,114,13.4,6.4,0.8,Đậu phụ nướng,Group_3
77,519,35.1,31.8,23.0,Hạt bí đỏ rang,Group_3
78,551,31.8,39.1,18.0,Hạt dẻ đỏ rang (đậu hũ),Group_3
79,583,18.3,49.3,16.4,"Hạt điều khô, chiên dầu",Group_3
80,405,31.1,9.7,48.2,Sữa bột đậu nành,Group_3
81,28,3.1,1.6,0.4,Sữa đậu nành (100g đậu/lít),Group_3
82,37,2.3,0.2,6.4,Tào phớ,Group_3
83,14,0.6,0.02,2.9,Bầu,Group_4
84,12,0.6,-,2.4,Bí đao (bí xanh),Group_4
85,27,0.3,0.1,6.1,Bí ngô,Group_4
86,23,1.2,0.2,4.0,Cà bát,Group_4
87,20,0.6,0.2,4.0,Cà chua,Group_4
88,20,1.5,-,3.6,Cà pháo,Group_4
89,39,1.5,0.2,7.8,"Cà rốt (củ đỏ, vàng)",Group_4
90,292,9.2,1.5,60.4,Cà rốt khô,Group_4
91,22,1.0,-,4.5,Cà tím,Group_4
92,29,1.8,0.1,5.3,Cải bắp,Group_4
93,45,1.9,0.2,9.0,Cải bắp đỏ,Group_4
94,245,18.0,1.6,39.7,Cải bắp khô,Group_4
95,14,1.6,-,1.9,Cải cúc,Group_4
96,15,2.1,0.1,1.3,Cải soong,Group_4
97,17,1.4,0.2,2.4,Cải thảo (cải trắng),Group_4
98,16,1.7,0.2,1.9,Cải xanh,Group_4
99,10,1.0,-,1.5,Cần ta,Group_4
100,48,3.7,0.2,7.9,Cần tây,Group_4
101,74,1.2,0.5,16.4,Chuối xanh,Group_4
102,48,1.3,-,10.8,Củ cải,Group_4
103,21,1.5,0.1,3.6,Củ cải trắng,Group_4
104,220,17.6,1.5,33.9,Củ cải trắng khô,Group_4
105,28,1.0,-,6.0,Củ đậu,Group_4
106,30,2.0,-,5.4,Củ niễng,Group_4
107,14,1.9,-,1.6,Đọt su su (cải non),Group_4
108,5,0.4,-,0.8,Dọc mùng,Group_4
109,16,0.8,0.1,2.9,Dưa chuột,Group_4
110,11,0.8,-,2.0,Dứa gang,Group_4
111,73,5.0,-,13.3,Dọc mùng,Group_4
112,59,6.0,0.4,7.9,Dưa dứa,Group_4
113,72,6.5,0.4,10.6,Đậu Hà Lan,Group_4
114,34,1.9,0.1,6.3,Đậu rồng (quả non),Group_4
115,22,0.8,-,4.6,Đu đủ xanh,Group_4
116,122,2.1,7.9,10.5,Gấc,Group_4
117,79,7.7,1.8,8.0,Giá đậu tương,Group_4
118,44,5.5,0.2,5.1,Giá đậu xanh,Group_4
119,26,1.3,0.4,4.4,Hành củ tươi,Group_4
120,22,1.3,-,4.3,Hành lá (hành hoa),Group_4
121,41,1.8,0.1,8.2,Hành tây,Group_4
122,161,9.5,0.5,29.5,Hạt sen tươi,Group_4
123,334,20.0,2.4,58.0,Hạt sen khô,Group_4
124,18,2.2,0.3,1.5,Hẹ lá,Group_4
125,20,1.5,-,3.5,Hoa chuối,Group_4
126,23,2.9,-,2.8,Hoa lý,Group_4
127,16,0.6,0.3,2.8,Khế,Group_4
128,39,4.3,-,5.4,Lá lốt,Group_4
129,46,7.5,-,4.0,Lá me,Group_4
130,27,3.9,-,2.9,Lá mơ lông,Group_4
131,78,7.0,-,12.6,Lá sắn tươi,Group_4
132,11,1.4,-,1.4,Măng chua,Group_4
133,157,13.0,2.1,21.5,Măng khô,Group_4
134,14,2.2,0.1,1.1,Măng tây,Group_4
135,15,1.7,0.3,1.4,Măng tre,Group_4
136,17,0.9,0.2,2.8,Mướp,Group_4
137,16,0.9,0.2,2.8,Mướp đắng,Group_4
138,10,0.8,0.0,1.8,Mướp Nhật bản,Group_4
139,25,3.8,0.0,2.4,Ngải cứu,Group_4
140,40,2.2,0.2,7.4,Ngô bao tử,Group_4
141,61,1.0,0.1,13.9,Ngô sen,Group_4
142,30,4.9,-,2.5,Nụ su su,Group_4
143,23,1.0,0.3,4.0,Ớt đỏ to,Group_4
144,29,1.3,0.2,5.5,Ớt đỏ nhỏ,Group_4
145,25,1.3,0.2,4.5,Ớt xanh to,Group_4
146,19,0.8,0.0,3.9,Quả đục,Group_4
147,27,1.9,-,4.8,Quả me chua,Group_4
148,18,2.7,-,1.7,Rau bí,Group_4
149,198,11.2,1.1,35.8,Rau câu khô,Group_4
150,25,1.9,0.1,4.1,Rau câu tươi,Group_4
151,14,1.2,0.2,1.8,Rau diếp,Group_4
152,25,2.8,0.3,3.0,Rau dền,Group_4
153,22,2.9,-,2.7,"Rau giấp cá, diếp cá",Group_4
154,21,3.4,0.3,1.1,Rau giền cơm,Group_4
155,41,3.3,0.3,6.2,Rau giền đỏ,Group_4
156,42,3.2,0.4,6.3,Rau giền trắng,Group_4
157,20,2.2,0.6,1.5,Rau húng,Group_4
158,23,2.6,0.3,2.5,Rau khoai lang,Group_4
159,22,2.7,-,2.8,Rau kinh giới,Group_4
160,25,3.1,-,3.1,Rau má rừng,Group_4
161,20,3.2,-,1.8,"Rau má, rau má tía",Group_4
162,14,2.0,-,1.4,Rau móng tỏi,Group_4
163,16,2.6,0.5,0.2,Rau mùi,Group_4
164,25,2.1,0.8,2.4,Rau mùi tàu,Group_4
165,25,3.2,0.4,2.1,Rau muống,Group_4
166,245,34.2,1.8,23.0,Rau muống khô,Group_4
167,15,1.5,-,2.3,Rau ngổ,Group_4
168,35,5.3,-,3.4,Rau ngót,Group_4
169,239,32.2,2.6,21.8,Rau ngót khô,Group_4
170,30,4.7,-,2.8,Rau răm,Group_4
171,28,5.1,-,1.8,Rau rút,Group_4
172,17,1.5,0.4,1.8,Rau xà lách,Group_4
173,18,1.4,-,3.0,Rau sam,Group_4
174,48,6.5,-,5.5,Rau sắng,Group_4
175,18,2.5,-,1.9,Rau tàu bay,Group_4
176,18,2.0,-,2.4,Rau thơm,Group_4
177,19,1.8,-,3.0,Sáu xách,Group_4
178,37,2.8,0.1,6.2,Su hào,Group_4
179,261,20.0,1.4,42.1,Su hào khô,Group_4
180,19,0.8,0.1,3.6,Su su,Group_4
181,30,2.5,0.1,4.8,Súp lơ trắng,Group_4
182,26,3.0,0.3,2.9,Súp lơ xanh,Group_4
183,28,2.6,1.1,1.8,Thìa là,Group_4
184,25,2.9,-,3.4,Tía tô,Group_4
185,121,6.0,0.5,23.0,Tỏi ta,Group_4
186,29,1.4,-,5.9,Tỏi tây (cả lá),Group_4
187,114,2.5,10.0,3.6,Trám đen chín,Group_4
188,37,1.2,1.6,4.4,"Trám xanh sống, trám trắng",Group_4
189,15,2.2,-,1.5,Xương sống mọc,Group_4
